País,ISO3,Estado_País,Implementación,Nota_País,clientes365,complejidadScore,daysSince,score100,nivel,Estado_Producto,Producto,Actualización Completo,Actualización regla,Nota_Producto
Angola,AGO,Activo,Pre-visa,ID 36,,,342,17,P3,Activo,ago_tourist,2025-05-13,,https://visagov.atlassian.net/browse/PRO-293
Antigua y Barbuda,ATG,Inactivo,eVisa,ID 40,,,,20,P3,Inactivo,atg_transit,,,
Antigua y Barbuda,ATG,Inactivo,eVisa,ID 40,,,,20,P3,Inactivo,atg_transit-urgent,,,
Antigua y Barbuda,ATG,Inactivo,eVisa,ID 40,,,,20,P3,Inactivo,atg_visitor_single,,,
Arabia Saudí,SAU,Activo,eVisa,ID 20,,,235,20,P3,Activo,sau_tourist,2025-08-28,,https://visagov.atlassian.net/browse/PRO-349
Arabia Saudí,SAU,Activo,eVisa,ID 20,,,235,20,P3,Activo,sau_tourist_urgent,2025-08-28,,https://visagov.atlassian.net/browse/PRO-349
Arabia Saudí,SAU,Activo,eVisa,ID 20,,,235,20,P3,Activo,sau_transit,2025-08-28,,https://visagov.atlassian.net/browse/PRO-349
Armenia,ARM,Activo,eVisa,ID 32,,,452,18,P3,Activo,arm_visitor-120,,2025-01-23,https://visagov.atlassian.net/browse/VIS-905
Armenia,ARM,Activo,eVisa,ID 32,,,452,18,P3,Activo,arm_visitor-21,,2025-01-23,https://visagov.atlassian.net/browse/VIS-905
Australia,AUS,Activo,eVisitor,ID 2,,,339,18,P3,Activo,aus_simple,2025-05-16,2026-01-23,https://visagov.atlassian.net/browse/PRO-957
Australia,AUS,Activo,eVisitor,ID 2,,,339,18,P3,Inactivo,aus_urgent,,,
Azerbaiyán,AZE,Activo,eVisa,ID 1,,,284,18,P3,Activo,aze_simple,2025-07-10,2026-03-16,https://visagov.atlassian.net/browse/PRO-1035
Azerbaiyán,AZE,Activo,eVisa,ID 1,,,284,18,P3,Activo,aze_urgent,2025-07-10,,https://visagov.atlassian.net/browse/PRO-422
Baréin,BHR,Activo,eVisa,ID 21,,,388,20,P3,Inactivo,bhr_formula_1,2025-03-28,,https://visagov.atlassian.net/browse/PRO-217
Baréin,BHR,Activo,eVisa,ID 21,,,388,20,P3,Activo,bhr_multiple_month,2025-03-28,2026-04-08,https://visagov.atlassian.net/browse/PRO-1047
Baréin,BHR,Activo,eVisa,ID 21,,,388,20,P3,Activo,bhr_single_entry,2025-03-28,2026-04-08,https://visagov.atlassian.net/browse/PRO-1047
Benín,BEN,Activo,eVisa,ID 28,,,311,20,P3,Activo,ben_multiple_entries_30,2025-06-13,2025-08-21,https://visagov.atlassian.net/browse/PRO-420
Benín,BEN,Activo,eVisa,ID 28,,,311,20,P3,Activo,ben_multiple_entries_90,2025-06-13,2025-08-21,https://visagov.atlassian.net/browse/PRO-420
Benín,BEN,Activo,eVisa,ID 28,,,311,20,P3,Activo,ben_single_entry_30,2025-06-13,2025-08-21,https://visagov.atlassian.net/browse/PRO-420
Brasil,BRA,Inactivo,eVisa,ID 48,,,,17,P3,Inactivo,bra_evisa,,,
Camboya,KHM,Activo,eVisa,ID 10,,,320,17,P3,Activo,khm_tourism,2025-06-04,2025-06-05,https://visagov.atlassian.net/browse/PRO-419
Canadá,CAN,Activo,eTA,ID 3,,,312,18,P3,Activo,can_simple,2025-06-12,2025-12-03,https://visagov.atlassian.net/browse/PRO-358
Canadá,CAN,Activo,eTA,ID 3,,,312,18,P3,Inactivo,can_urgent,,,
Colombia,COL,Activo,CheckMig,ID 49,,,336,17,P3,Activo,col_checkmig,2025-05-19,,https://visagov.atlassian.net/browse/PRO-331
Corea del Sur,KOR,Activo,K-ETA,ID 51,,,4,4,P3,Inactivo,kor_urgent,,,
Corea del Sur,KOR,Activo,K-ETA,ID 51,,,4,4,P3,Activo,korea_eta,2026-04-16,2026-04-16,https://visagov.atlassian.net/browse/PRO-1003
Costa de Marfil,CIV,Activo,eVisa,ID 4,,,266,17,P3,Activo,civ_simple,2025-07-28,,https://visagov.atlassian.net/browse/PRO-424
Cuba,CUB,Activo,eVisa,ID 5,,,419,22,P3,Activo,cub_evisa_except_usa,2025-02-25,2026-01-27,https://visagov.atlassian.net/browse/PRO-954
Cuba,CUB,Activo,eVisa,ID 5,,,419,22,P3,Inactivo,cub_evisa_usa,,,
Cuba,CUB,Activo,eVisa,ID 5,,,419,22,P3,Inactivo,cub_from_us,,,
Cuba,CUB,Activo,eVisa,ID 5,,,419,22,P3,Inactivo,cub_from_worldwide,,,
Egipto,EGY,Activo,eVisa,ID 6,,,266,22,P3,Activo,egy_multiple_entry,2025-07-28,,https://visagov.atlassian.net/browse/PRO-348
Egipto,EGY,Activo,eVisa,ID 6,,,266,22,P3,Activo,egy_multiple_entry_urgent,2025-07-28,,https://visagov.atlassian.net/browse/PRO-348
Egipto,EGY,Activo,eVisa,ID 6,,,266,22,P3,Activo,egy_single_entry,2025-07-28,,https://visagov.atlassian.net/browse/PRO-348
Egipto,EGY,Activo,eVisa,ID 6,,,266,22,P3,Activo,egy_single_entry_urgent,2025-07-28,,https://visagov.atlassian.net/browse/PRO-348
Emiratos Árabes Unidos,ARE,Inactivo,eVisa,ID 44,,,,20,P3,Inactivo,are_tourist_single,,,
Emiratos Árabes Unidos,ARE,Inactivo,eVisa,ID 44,,,,20,P3,Inactivo,are_transit_2_days,,,
Emiratos Árabes Unidos,ARE,Inactivo,eVisa,ID 44,,,,20,P3,Inactivo,are_transit_4_days,,,
Estados Unidos,USA,Activo,ESTA - B1/B2,ID 17,,,144,20,P3,Activo,usa_b1_b2_visitor_visa,2025-11-27,,https://visagov.atlassian.net/browse/PM-1
Estados Unidos,USA,Activo,ESTA - B1/B2,ID 17,,,144,20,P3,Activo,usa_simple,2025-07-07,2026-02-25,https://visagov.atlassian.net/browse/PRO-1012
Estados Unidos,USA,Activo,ESTA - B1/B2,ID 17,,,144,20,P3,Activo,usa_simple_urgent,2025-07-07,2026-01-05,https://visagov.atlassian.net/browse/PRO-913
Estados Unidos,USA,Activo,ESTA - B1/B2,ID 17,,,144,20,P3,Inactivo,usa_transit,,,
Estados Unidos,USA,Activo,ESTA - B1/B2,ID 17,,,144,20,P3,Inactivo,usa_transit_urgent,,,
Etiopía,ETH,Activo,eVisa,ID 7,,,305,18,P3,Activo,eth_single_entry_30,2025-06-19,,https://visagov.atlassian.net/browse/PRO-421
Etiopía,ETH,Activo,eVisa,ID 7,,,305,18,P3,Inactivo,eth_single_entry_90,,,
Georgia,GEO,Inactivo,eVisa,ID 43,,,,17,P3,Inactivo,geo_multiple,,,
Guinea,GIN,Activo,eVisa,ID 33,,,257,20,P3,Activo,gin_tourist,2025-08-06,,https://visagov.atlassian.net/browse/PRO-500
Guinea,GIN,Activo,eVisa,ID 33,,,257,20,P3,Activo,gin_transborderment,2025-08-06,,https://visagov.atlassian.net/browse/PRO-500
