"País","ISO3","Estado","Implementación","Nota"
"Afganistán","AFG","No implementado","",""
"Albania","ALB","No implementado","",""
"Alemania","DEU","No implementado","",""
"Andorra","AND","No implementado","",""
"Angola","AGO","Activo","Pre-visa","ID 36"
"Anguilla","AIA","No implementado","",""
"Antigua y Barbuda","ATG","Inactivo","eVisa","ID 40"
"Antártida","ATA","No implementado","",""
"Arabia Saudí","SAU","Activo","eVisa","ID 20"
"Argelia","DZA","No implementado","",""
"Argentina","ARG","No implementado","",""
"Armenia","ARM","Activo","eVisa","ID 32"
"Aruba","ABW","No implementado","",""
"Australia","AUS","Activo","eVisitor","ID 2"
"Austria","AUT","No implementado","",""
"Azerbaiyán","AZE","Activo","eVisa","ID 1"
"Bahamas","BHS","No implementado","",""
"Bangladesh","BGD","No implementado","",""
"Barbados","BRB","No implementado","",""
"Baréin","BHR","Activo","eVisa","ID 21"
"Belice","BLZ","No implementado","",""
"Benín","BEN","Activo","eVisa","ID 28"
"Bermudas","BMU","No implementado","",""
"Bielorrusia","BLR","No implementado","",""
"Bolivia","BOL","No implementado","",""
"Bosnia y Herzegovina","BIH","No implementado","",""
"Botswana","BWA","No implementado","",""
"Brasil","BRA","Inactivo","eVisa","ID 48"
"Brunei","BRN","No implementado","",""
"Bulgaria","BGR","No implementado","",""
"Burkina Faso","BFA","No implementado","",""
"Burundi","BDI","No implementado","",""
"Bután","BTN","No implementado","",""
"Bélgica","BEL","No implementado","",""
"Cabo Verde","CPV","No implementado","",""
"Camboya","KHM","Activo","eVisa","ID 10"
"Camerún","CMR","No implementado","",""
"Canadá","CAN","Activo","eTA","ID 3"
"Caribe Neerlandés","BES","No implementado","",""
"Catar","QAT","No implementado","",""
"Chad","TCD","No implementado","",""
"Chequia","CZE","No implementado","",""
"Chile","CHL","No implementado","",""
"China","CHN","No implementado","",""
"Chipre","CYP","No implementado","",""
"Ciudad del Vaticano","VAT","No implementado","",""
"Colombia","COL","Activo","CheckMig","ID 49"
"Comoras","COM","No implementado","",""
"Congo-Brazzaville","COG","No implementado","",""
"Corea del Norte","PRK","No implementado","",""
"Corea del Sur","KOR","Activo","K-ETA","ID 51"
"Costa Rica","CRI","No implementado","",""
"Costa de Marfil","CIV","Activo","eVisa","ID 4"
"Croacia","HRV","No implementado","",""
"Cuba","CUB","Activo","eVisa","ID 5"
"Curazao","CUW","No implementado","",""
"Dinamarca","DNK","No implementado","",""
"Dominica","DMA","No implementado","",""
"Ecuador","ECU","No implementado","",""
"Egipto","EGY","Activo","eVisa","ID 6"
"El Salvador","SLV","No implementado","",""
"Emiratos Árabes Unidos","ARE","Inactivo","eVisa","ID 44"
"Eritrea","ERI","No implementado","",""
"Eslovenia","SVN","No implementado","",""
"España","ESP","No implementado","",""
"Estados Unidos","USA","Activo","ESTA - B1/B2","ID 17"
"Estonia","EST","No implementado","",""
"Etiopía","ETH","Activo","eVisa","ID 7"
"Filipinas","PHL","No implementado","",""
"Finlandia","FIN","No implementado","",""
