"rank","country","iso3","estado_pais","productos_total","productos_activos","clientes365","complejidadScore","lastCompleto","daysSince","score100","nivel","note"
"1","Sri Lanka","LKA","Activo","9","4","","","2025-11-06","165","29","P3",""
"2","Zimbabue","ZWE","Activo","9","4","","","2025-11-06","165","29","P3",""
"3","Zambia","ZMB","Activo","8","5","","","2025-10-24","178","28","P3",""
"4","Kenia","KEN","Activo","6","1","","","2025-08-05","258","25","P3",""
"5","Tailandia","THA","Activo","6","5","","","2025-07-25","269","25","P3",""
"6","Ruanda","RWA","Activo","5","5","","","2025-07-22","272","23","P3",""
"7","Uganda","UGA","Activo","5","5","","","2025-08-05","258","23","P3",""
"8","Cuba","CUB","Activo","4","1","","","2025-02-25","419","22","P3",""
"9","Egipto","EGY","Activo","4","4","","","2025-07-28","266","22","P3",""
"10","Puerto Rico","PRI","Activo","4","2","","","2025-07-07","287","22","P3",""
"11","Tayikistán","TJK","Inactivo","4","0","","","","","22","P3",""
"12","Vietnam","VNM","Activo","4","2","","","2025-05-29","326","22","P3",""
"13","Antigua y Barbuda","ATG","Inactivo","3","0","","","","","20","P3",""
"14","Arabia Saudí","SAU","Activo","3","3","","","2025-08-28","235","20","P3",""
"15","Baréin","BHR","Activo","3","2","","","2025-03-28","388","20","P3",""
"16","Benín","BEN","Activo","3","3","","","2025-06-13","311","20","P3",""
"17","Emiratos Árabes Unidos","ARE","Inactivo","3","0","","","","","20","P3",""
"18","Estados Unidos","USA","Activo","5","3","","","2025-11-27","144","20","P3",""
"19","Guinea","GIN","Activo","3","3","","","2025-08-06","257","20","P3",""
"20","Indonesia","IDN","Activo","3","1","","","2025-06-05","319","20","P3",""
"21","Kirguizistán","KGZ","Inactivo","3","0","","","","","20","P3",""
"22","Madagascar","MDG","Activo","3","3","","","2025-08-27","236","20","P3",""
"23","Nueva Zelanda","NZL","Activo","3","1","","","2025-06-04","320","20","P3",""
"24","Rusia","RUS","Inactivo","3","0","","","","","20","P3",""
"25","Tanzania","TZA","Activo","3","2","","","2025-07-11","283","20","P3",""
"26","Armenia","ARM","Activo","2","2","","","","452","18","P3",""
"27","Australia","AUS","Activo","2","1","","","2025-05-16","339","18","P3",""
"28","Azerbaiyán","AZE","Activo","2","2","","","2025-07-10","284","18","P3",""
"29","Canadá","CAN","Activo","2","1","","","2025-06-12","312","18","P3",""
"30","Etiopía","ETH","Activo","2","1","","","2025-06-19","305","18","P3",""
"31","Iran","IRN","Inactivo","2","0","","","","","18","P3",""
"32","Myanmar","MMR","Activo","2","2","","","2025-08-21","242","18","P3",""
"33","Omán","OMN","Activo","2","2","","","2025-02-26","418","18","P3",""
"34","Papúa Nueva Guinea","PNG","Activo","2","2","","","2025-08-06","257","18","P3",""
"35","República Dominicana","DOM","Activo","2","2","","","2025-10-24","178","18","P3",""
"36","Sierra Leone","SLE","Inactivo","2","2","","","2025-01-20","455","18","P3",""
"37","Turquía","TUR","Activo","2","2","","","2025-03-06","410","18","P3",""
"38","Yibuti","DJI","Activo","2","2","","","2025-02-14","430","18","P3",""
"39","Angola","AGO","Activo","1","1","","","2025-05-13","342","17","P3",""
"40","Brasil","BRA","Inactivo","1","0","","","","","17","P3",""
"41","Camboya","KHM","Activo","1","1","","","2025-06-04","320","17","P3",""
"42","Colombia","COL","Activo","1","1","","","2025-05-19","336","17","P3",""
"43","Costa de Marfil","CIV","Activo","1","1","","","2025-07-28","266","17","P3",""
"44","Georgia","GEO","Inactivo","1","0","","","","","17","P3",""
"45","Laos","LAO","Activo","1","1","","","2025-03-20","396","17","P3",""
"46","Montserrat","MSR","Inactivo","1","0","","","","","17","P3",""
"47","México","MEX","Activo","1","1","","","2025-06-16","308","17","P3",""
"48","Singapur","SGP","Activo","1","1","","","2025-08-21","242","17","P3",""
"49","Nepal","NPL","Activo","3","3","","","2025-12-09","132","16","P3",""
"50","Afganistán","AFG","No implementado","0","0","","","","","15","P3",""
"51","Albania","ALB","No implementado","0","0","","","","","15","P3",""
"52","Alemania","DEU","No implementado","0","0","","","","","15","P3",""
"53","Andorra","AND","No implementado","0","0","","","","","15","P3",""
"54","Anguilla","AIA","No implementado","0","0","","","","","15","P3",""
"55","Antártida","ATA","No implementado","0","0","","","","","15","P3",""
"56","Argelia","DZA","No implementado","0","0","","","","","15","P3",""
"57","Argentina","ARG","No implementado","0","0","","","","","15","P3",""
"58","Aruba","ABW","No implementado","0","0","","","","","15","P3",""
"59","Austria","AUT","No implementado","0","0","","","","","15","P3",""
"60","Bahamas","BHS","No implementado","0","0","","","","","15","P3",""
"61","Bangladesh","BGD","No implementado","0","0","","","","","15","P3",""
"62","Barbados","BRB","No implementado","0","0","","","","","15","P3",""
"63","Belice","BLZ","No implementado","0","0","","","","","15","P3",""
"64","Bermudas","BMU","No implementado","0","0","","","","","15","P3",""
"65","Bielorrusia","BLR","No implementado","0","0","","","","","15","P3",""
"66","Bolivia","BOL","No implementado","0","0","","","","","15","P3",""
"67","Bosnia y Herzegovina","BIH","No implementado","0","0","","","","","15","P3",""
"68","Botswana","BWA","No implementado","0","0","","","","","15","P3",""
"69","Brunei","BRN","No implementado","0","0","","","","","15","P3",""
"70","Bulgaria","BGR","No implementado","0","0","","","","","15","P3",""
"71","Burkina Faso","BFA","No implementado","0","0","","","","","15","P3",""
"72","Burundi","BDI","No implementado","0","0","","","","","15","P3",""
"73","Bután","BTN","No implementado","0","0","","","","","15","P3",""
"74","Bélgica","BEL","No implementado","0","0","","","","","15","P3",""
"75","Cabo Verde","CPV","No implementado","0","0","","","","","15","P3",""
"76","Camerún","CMR","No implementado","0","0","","","","","15","P3",""
"77","Caribe Neerlandés","BES","No implementado","0","0","","","","","15","P3",""
"78","Catar","QAT","No implementado","0","0","","","","","15","P3",""
"79","Chad","TCD","No implementado","0","0","","","","","15","P3",""
"80","Chequia","CZE","No implementado","0","0","","","","","15","P3",""
"81","Chile","CHL","No implementado","0","0","","","","","15","P3",""
"82","China","CHN","No implementado","0","0","","","","","15","P3",""
"83","Chipre","CYP","No implementado","0","0","","","","","15","P3",""
"84","Ciudad del Vaticano","VAT","No implementado","0","0","","","","","15","P3",""
"85","Comoras","COM","No implementado","0","0","","","","","15","P3",""
"86","Congo-Brazzaville","COG","No implementado","0","0","","","","","15","P3",""
"87","Corea del Norte","PRK","No implementado","0","0","","","","","15","P3",""
"88","Costa Rica","CRI","No implementado","0","0","","","","","15","P3",""
"89","Croacia","HRV","No implementado","0","0","","","","","15","P3",""
"90","Curazao","CUW","No implementado","0","0","","","","","15","P3",""
"91","Dinamarca","DNK","No implementado","0","0","","","","","15","P3",""
"92","Dominica","DMA","No implementado","0","0","","","","","15","P3",""
"93","Ecuador","ECU","No implementado","0","0","","","","","15","P3",""
"94","El Salvador","SLV","No implementado","0","0","","","","","15","P3",""
"95","Eritrea","ERI","No implementado","0","0","","","","","15","P3",""
"96","Eslovenia","SVN","No implementado","0","0","","","","","15","P3",""
"97","España","ESP","No implementado","0","0","","","","","15","P3",""
"98","Estonia","EST","No implementado","0","0","","","","","15","P3",""
"99","Filipinas","PHL","No implementado","0","0","","","","","15","P3",""
"100","Finlandia","FIN","No implementado","0","0","","","","","15","P3",""
"101","Fiyi","FJI","No implementado","0","0","","","","","15","P3",""
"102","Francia","FRA","No implementado","0","0","","","","","15","P3",""
"103","Gabón","GAB","No implementado","0","0","","","","","15","P3",""
"104","Gambia","GMB","No implementado","0","0","","","","","15","P3",""
"105","Ghana","GHA","No implementado","0","0","","","","","15","P3",""
"106","Gibraltar","GIB","No implementado","0","0","","","","","15","P3",""
"107","Grecia","GRC","No implementado","0","0","","","","","15","P3",""
"108","Grenada","GRD","No implementado","0","0","","","","","15","P3",""
"109","Groenlandia","GRL","No implementado","0","0","","","","","15","P3",""
"110","Guadalupe","GLP","No implementado","0","0","","","","","15","P3",""
"111","Guam","GUM","No implementado","0","0","","","","","15","P3",""
"112","Guatemala","GTM","No implementado","0","0","","","","","15","P3",""
"113","Guayana Francesa","GUF","No implementado","0","0","","","","","15","P3",""
"114","Guernsey","GGY","No implementado","0","0","","","","","15","P3",""
"115","Guinea Ecuatorial","GNQ","No implementado","0","0","","","","","15","P3",""
"116","Guinea-Bisáu","GNB","No implementado","0","0","","","","","15","P3",""
"117","Guyana","GUY","No implementado","0","0","","","","","15","P3",""
"118","Haití","HTI","No implementado","0","0","","","","","15","P3",""
"119","Honduras","HND","No implementado","0","0","","","","","15","P3",""
"120","Hong Kong","HKG","No implementado","0","0","","","","","15","P3",""
"121","Hungría","HUN","No implementado","0","0","","","","","15","P3",""
"122","Irak","IRQ","No implementado","0","0","","","","","15","P3",""
"123","Irlanda","IRL","No implementado","0","0","","","","","15","P3",""
"124","Isla Bouvet","BVT","No implementado","0","0","","","","","15","P3",""
"125","Isla de Man","IMN","No implementado","0","0","","","","","15","P3",""
"126","Isla de Navidad","CXR","No implementado","0","0","","","","","15","P3",""
"127","Isla de Norfolk","NFK","No implementado","0","0","","","","","15","P3",""
"128","Islandia","ISL","No implementado","0","0","","","","","15","P3",""
"129","Islas Caimán","CYM","No implementado","0","0","","","","","15","P3",""
"130","Islas Cocos o Islas Keeling","CCK","No implementado","0","0","","","","","15","P3",""
"131","Islas Cook","COK","No implementado","0","0","","","","","15","P3",""
"132","Islas Faroe","FRO","No implementado","0","0","","","","","15","P3",""
"133","Islas Georgias del Sur y Sandwich del Sur","SGS","No implementado","0","0","","","","","15","P3",""
"134","Islas Heard y McDonald","HMD","No implementado","0","0","","","","","15","P3",""
"135","Islas Malvinas","FLK","No implementado","0","0","","","","","15","P3",""
"136","Islas Marianas del Norte","MNP","No implementado","0","0","","","","","15","P3",""
"137","Islas Marshall","MHL","No implementado","0","0","","","","","15","P3",""
"138","Islas Pitcairn","PCN","No implementado","0","0","","","","","15","P3",""
"139","Islas Salomón","SLB","No implementado","0","0","","","","","15","P3",""
"140","Islas Svalbard y Jan Mayen","SJM","No implementado","0","0","","","","","15","P3",""
"141","Islas Tokelau","TKL","No implementado","0","0","","","","","15","P3",""
"142","Islas Turks y Caicos","TCA","No implementado","0","0","","","","","15","P3",""
"143","Islas Ultramarinas Menores de Estados Unidos","UMI","No implementado","0","0","","","","","15","P3",""
"144","Islas Vírgenes de los Estados Unidos","VIR","No implementado","0","0","","","","","15","P3",""
"145","Islas Vírgenes del Reino Unido","VGB","No implementado","0","0","","","","","15","P3",""
"146","Islas Åland","ALA","No implementado","0","0","","","","","15","P3",""
"147","Israel","ISR","No implementado","0","0","","","","","15","P3",""
"148","Italia","ITA","No implementado","0","0","","","","","15","P3",""
"149","Jamaica","JAM","No implementado","0","0","","","","","15","P3",""
