"País","ISO3","Estado","Producto","Actualización Completo","Actualización regla","Nota"
"Angola","","Activo","ago_tourist","13/05/2025","","https://visagov.atlassian.net/browse/PRO-293"
"Emiratos Árabes Unidos","","Inactivo","are_tourist_single","","",""
"Emiratos Árabes Unidos","","Inactivo","are_transit_2_days","","",""
"Emiratos Árabes Unidos","","Inactivo","are_transit_4_days","","",""
"Armenia","","Activo","arm_visitor-120","","23/01/2025","https://visagov.atlassian.net/browse/VIS-905"
"Armenia","","Activo","arm_visitor-21","","23/01/2025","https://visagov.atlassian.net/browse/VIS-905"
"Antigua y Barbuda","","Inactivo","atg_transit","","",""
"Antigua y Barbuda","","Inactivo","atg_transit-urgent","","",""
"Antigua y Barbuda","","Inactivo","atg_visitor_single","","",""
"Australia","","Activo","aus_simple","16/05/2025","23/01/2026","https://visagov.atlassian.net/browse/PRO-957"
"Australia","","Inactivo","aus_urgent","","",""
"Azerbaiyán","","Activo","aze_simple","10/07/2025","16/03/2026","https://visagov.atlassian.net/browse/PRO-1035"
"Azerbaiyán","","Activo","aze_urgent","10/07/2025","","https://visagov.atlassian.net/browse/PRO-422"
"Benín","","Activo","ben_multiple_entries_30","13/06/2025","21/08/2025","https://visagov.atlassian.net/browse/PRO-420"
"Benín","","Activo","ben_multiple_entries_90","13/06/2025","21/08/2025","https://visagov.atlassian.net/browse/PRO-420"
"Benín","","Activo","ben_single_entry_30","13/06/2025","21/08/2025","https://visagov.atlassian.net/browse/PRO-420"
"Baréin","","Inactivo","bhr_formula_1","28/03/2025","","https://visagov.atlassian.net/browse/PRO-217"
"Baréin","","Activo","bhr_multiple_month","28/03/2025","08/04/2026","https://visagov.atlassian.net/browse/PRO-1047"
"Baréin","","Activo","bhr_single_entry","28/03/2025","08/04/2026","https://visagov.atlassian.net/browse/PRO-1047"
"Brasil","","Inactivo","bra_evisa","","",""
"Canadá","","Activo","can_simple","12/06/2025","03/12/2025","https://visagov.atlassian.net/browse/PRO-358"
"Canadá","","Inactivo","can_urgent","","",""
"Costa de Marfil","","Activo","civ_simple","28/07/2025","","https://visagov.atlassian.net/browse/PRO-424"
"Colombia","","Activo","col_checkmig","19/05/2025","","https://visagov.atlassian.net/browse/PRO-331"
"Cuba","","Activo","cub_evisa_except_usa","25/02/2025","27/01/2026","https://visagov.atlassian.net/browse/PRO-954"
"Cuba","","Inactivo","cub_evisa_usa","","",""
"Cuba","","Inactivo","cub_from_us","","",""
"Cuba","","Inactivo","cub_from_worldwide","","",""
"Yibuti","","Activo","dji_short_stay","14/02/2025","17/11/2025","https://visagov.atlassian.net/browse/PRO-154"
"Yibuti","","Activo","dji_transit","14/02/2025","03/07/2025","https://visagov.atlassian.net/browse/PRO-154"
"República Dominicana","","Activo","dom_eticket","24/10/2025","","https://visagov.atlassian.net/browse/PRO-578"
"República Dominicana","","Activo","dom_eticket_urgent","24/10/2025","","https://visagov.atlassian.net/browse/PRO-578"
"Egipto","","Activo","egy_multiple_entry","28/07/2025","","https://visagov.atlassian.net/browse/PRO-348"
"Egipto","","Activo","egy_multiple_entry_urgent","28/07/2025","","https://visagov.atlassian.net/browse/PRO-348"
"Egipto","","Activo","egy_single_entry","28/07/2025","","https://visagov.atlassian.net/browse/PRO-348"
"Egipto","","Activo","egy_single_entry_urgent","28/07/2025","","https://visagov.atlassian.net/browse/PRO-348"
"Etiopía","","Activo","eth_single_entry_30","19/06/2025","","https://visagov.atlassian.net/browse/PRO-421"
"Etiopía","","Inactivo","eth_single_entry_90","","",""
"Reino Unido","","Activo","gbr_eta","14/04/2026","14/04/2026","https://visagov.atlassian.net/browse/PRO-1072"
"Reino Unido","","Inactivo","gbr_urgent","","12/11/2025","https://visagov.atlassian.net/browse/PRO-833"
"Georgia","","Inactivo","geo_multiple","","",""
"Guinea","","Activo","gin_tourist","06/08/2025","","https://visagov.atlassian.net/browse/PRO-500"
"Guinea","","Activo","gin_transborderment","06/08/2025","","https://visagov.atlassian.net/browse/PRO-500"
"Guinea","","Activo","gin_transit","06/08/2025","","https://visagov.atlassian.net/browse/PRO-500"
"Indonesia","","Activo","idn_evoa","05/06/2025","18/03/2026","https://visagov.atlassian.net/browse/PRO-1040"
"Indonesia","","Inactivo","idn_evoa_bali","","",""
"Indonesia","","Inactivo","idn_urgent","","",""
"India","","Activo","ind_business","","07/01/2026","https://visagov.atlassian.net/browse/PRO-914"
"India","","Activo","ind_conference","","07/01/2026","https://visagov.atlassian.net/browse/PRO-914"
